* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: 21.3.2023 15:30:26
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: MM1 SPL
* Measurement: MM1 AVG
* Smoothing: 1/6 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
2.197266	18.785	120.3803
2.563477	19.245	108.7028
2.929688	19.722	84.3205
3.295899	19.348	61.8650
3.662109	18.280	39.8827
4.028320	16.618	18.1110
4.394531	14.336	-0.6453
4.760742	11.739	-14.3725
5.126953	9.878	-24.3232
5.493164	10.208	-35.8207
5.859375	12.211	-52.8919
6.225586	14.390	-74.4144
6.591797	16.039	-96.7814
6.958008	16.902	-117.2500
7.324219	16.863	-132.9971
7.690430	15.972	-138.9527
8.056641	15.078	-131.4671
8.422852	16.349	-115.2009
8.789063	19.366	-101.1942
9.155274	22.146	-96.7489
9.521485	24.178	-101.0016
9.887696	25.505	-109.4551
10.253907	26.228	-118.6542
10.620118	26.441	-126.7818
10.986329	26.239	-132.7155
11.352540	25.741	-135.6625
11.718751	25.134	-135.4092
12.084962	24.655	-132.6286
12.451173	24.485	-128.7284
12.817384	24.611	-125.1591
13.183595	24.869	-122.6769
13.549806	25.113	-121.1296
13.916017	25.309	-119.8470
14.282228	25.525	-118.2545
14.648439	25.870	-116.2738
15.014649	26.408	-114.3095
15.380860	27.115	-112.9158
15.747071	27.919	-112.4373
16.113282	28.764	-112.8726
16.479493	29.635	-114.0010
16.845704	30.540	-115.6151
17.211915	31.479	-117.6780
17.578126	32.424	-120.3195
17.944337	33.326	-123.7107
18.310548	34.129	-127.9131
18.676759	34.792	-132.7887
19.042970	35.293	-138.0030
19.409181	35.635	-143.1052
19.775392	35.844	-147.6511
20.141603	35.965	-151.3300
20.507814	36.056	-154.0535
20.874025	36.167	-155.9671
21.240236	36.324	-157.3693
21.606447	36.522	-158.5713
21.972658	36.739	-159.7725
22.338869	36.952	-161.0165
22.705080	37.156	-162.2460
23.071291	37.362	-163.4093
23.437502	37.585	-164.5467
23.803713	37.828	-165.7982
24.169924	38.075	-167.3330
24.536135	38.298	-169.2477
24.902346	38.468	-171.5008
25.268557	38.569	-173.9240
25.634768	38.604	-176.3017
26.000978	38.593	-178.4740
26.367189	38.560	179.5959
26.733400	38.526	177.8224
27.099611	38.493	176.0661
27.465822	38.448	174.2258
27.832033	38.368	172.3048
28.198244	38.231	170.4177
28.564455	38.027	168.7474
28.930666	37.756	167.4833
29.296877	37.428	166.7794
29.663088	37.058	166.7449
30.029299	36.666	167.4548
30.395510	36.276	168.9518
30.761721	35.921	171.2228
31.127932	35.639	174.1657
31.494143	35.469	177.5883
31.860354	35.431	-178.7289
32.226565	35.528	-174.9172
32.592776	35.748	-170.9165
32.958987	36.097	-166.4576
33.325198	36.596	-161.1659
33.691409	37.279	-154.7554
34.057620	38.157	-147.2267
34.423831	39.202	-138.9617
34.790042	40.358	-130.6469
35.156253	41.562	-123.0534
35.522464	42.767	-116.7924
35.888675	43.944	-112.1713
36.254886	45.081	-109.1968
36.621097	46.173	-107.6772
36.987308	47.219	-107.3502
37.353518	48.214	-107.9796
37.719729	49.153	-109.4014
38.085940	50.028	-111.5235
38.452151	50.830	-114.2969
38.818362	51.551	-117.6778
39.184573	52.188	-121.5967
39.550784	52.739	-125.9442
39.916995	53.207	-130.5744
40.283206	53.601	-135.3210
40.649417	53.934	-140.0193
41.015628	54.219	-144.5267
41.381839	54.476	-148.7402
41.748050	54.721	-152.6052
42.114261	54.972	-156.1196
42.480472	55.240	-159.3309
42.846683	55.530	-162.3287
43.212894	55.842	-165.2323
43.579105	56.166	-168.1727
43.945316	56.489	-171.2722
44.311527	56.793	-174.6237
44.677738	57.060	-178.2740
45.043949	57.277	177.7853
45.410160	57.430	173.6173
45.776371	57.514	169.3298
46.142582	57.523	165.0603
46.508793	57.460	160.9588
46.875004	57.326	157.1713
47.241215	57.130	153.8270
47.607426	56.879	151.0304
47.973637	56.586	148.8569
48.339848	56.266	147.3509
48.706058	55.934	146.5252
49.072269	55.612	146.3600
49.438480	55.322	146.8024
49.804691	55.090	147.7664
50.170902	54.939	149.1363
50.537113	54.884	150.7735
50.903324	54.935	152.5271
51.269535	55.087	154.2466
51.635746	55.325	155.7940
52.001957	55.631	157.0537
52.368168	55.981	157.9389
52.734379	56.356	158.3936
53.100590	56.736	158.3916
53.466801	57.110	157.9319
53.833012	57.466	157.0339
54.199223	57.799	155.7306
54.565434	58.104	154.0637
54.931645	58.377	152.0790
55.297856	58.616	149.8243
55.664067	58.819	147.3484
56.030278	58.985	144.7009
56.396489	59.113	141.9336
56.762700	59.201	139.1005
57.128911	59.249	136.2575
57.495122	59.258	133.4617
57.861333	59.229	130.7690
58.227544	59.163	128.2325
58.593755	59.064	125.8995
58.959966	58.936	123.8102
59.326177	58.783	121.9952
59.692387	58.612	120.4748
60.058598	58.429	119.2581
60.424809	58.240	118.3431
60.791020	58.055	117.7170
61.157231	57.881	117.3572
61.523442	57.727	117.2331
61.889653	57.598	117.3077
62.255864	57.503	117.5397
62.622075	57.444	117.8857
62.988286	57.425	118.3024
63.354497	57.446	118.7479
63.720708	57.505	119.1838
64.086919	57.600	119.5762
64.453130	57.724	119.8965
64.819341	57.874	120.1225
65.185552	58.044	120.2375
